filename,C1_bigram_and_trigram_frequency,C2_word_acquisition_properties,C3_content_word_frequency,C4_trigram_mutual_information,C5_bigram_frequency_and_range,C6_function_word_properties,C7_content_word_properties,C8_bigram_mutual_information,C9_function_word_frequency_and_range,C10_bigram_and_trigram_association_strength,C11_academic_language,C12_hypernymy,idioma,parte
PL0107P3.txt,-2.34099154909,-4.46820438266,-13.1154678164,-3.20371125903,4.26628380883,-0.10268557028400001,2.9072355031800003,1.69021005278,-3.9308748548500003,0.335003837139,3.71266302704,3.6857768844699996,PL,P3
PL0108P1.txt,-6.09220559712,-8.00514884558,-1.06919915472,2.03856894872,-0.49838620736199996,-1.95133030255,-3.72032033009,0.09236111522389999,-3.34585525625,0.09265321912239999,-2.47504780848,0.552200056045,PL,P1
PL0108P2.txt,-4.14869125161,4.91567732352,1.71239080509,3.2972597637199996,-1.8782181342299997,-0.0940135304837,0.364062021082,-0.192298287862,0.0937752301694,0.9563063156810001,-1.43369111685,-1.7818992989099998,PL,P2
PL0108P3.txt,5.32692214237,-2.78592303975,-9.022699989960001,4.9410865192,-3.65881379583,2.1666402267900002,-2.06874959741,1.13391099221,-5.6697893957200005,3.83002199544,4.5826153195099995,3.5820825495699995,PL,P3
PL0109P1.txt,-0.928997747914,-4.693808992799999,9.52168851457,-4.23394934461,3.81249698601,-0.76740114692,-5.42191933429,-3.23008106696,-0.414378098689,-3.5686819326999997,0.8065382734819999,-1.99588792806,PL,P1
PL0109P2.txt,7.25214962493,20.413412354600002,7.14747356347,-0.659753030064,-6.44266246665,7.415863591769999,-3.6148952797000002,-2.13634759387,0.325983889855,-2.69900591217,0.758759110413,-4.5002320564,PL,P2
PL0109P3.txt,5.4373542624699995,8.9185385444,0.14628839731100002,1.22531175434,-8.19166332006,5.924411471719999,0.578002001623,-6.67512984796,-5.711671626219999,-1.74181853166,0.08613546184429999,3.5331714652099997,PL,P3
PL0110P1.txt,-0.64359312236,4.60791639257,7.513849508139999,-4.3427574170300005,-0.39077775875,2.57685117983,-2.7533740039700003,-0.525026043428,-2.0750886730700002,-3.96089319424,-0.9853260927740001,-1.2563319077700001,PL,P1
PL0110P2.txt,5.5549010150099996,9.309424442789998,5.17552058764,-3.14531047142,0.330131319333,0.837650580397,-1.05188356894,-0.9881047793719999,2.67410806985,0.155249349071,-1.67629478334,-3.23446045581,PL,P2
PL0110P3.txt,18.7765558142,10.9529969935,3.0629362100999997,1.25283355527,-7.05910468028,-1.04352399327,2.7143737825200005,-1.60047557854,-4.70453960724,1.7894126187200001,0.985201802729,-0.53949066537,PL,P3
