filename,np_elaboration,verb_vac_frequency,nouns_as_modifiers,determiners,vac_frequency,association_strength,diversity_and_frequency,possessives,frequency,idioma,parte
BG0017P1.txt,8.871021784089999,-0.357525600902,-0.248344768928,0.744898907471,1.13765972426,-0.42756845118000003,1.4378197956299998,-1.54649928127,-0.594224764015,BG,P1
BG0101P1.txt,-1.67616104002,5.39159093673,-0.07291871773610001,-0.44432377050300004,1.9775235199799999,-0.438568077728,-0.443820973376,0.208873373913,0.45712675006700004,BG,P1
BG0101P2.txt,5.49119983853,1.7262532889900002,5.017949193130001,-0.6992409889219999,-1.17321568079,2.4496716238,0.181002537768,0.0660683957831,0.0922104893765,BG,P2
BG0101P3.txt,-4.47134130352,4.29845040173,-1.522759301,0.211952379563,1.3826586488100001,3.7445145516400005,0.759329043148,0.710034984401,0.6793412662530001,BG,P3
BG0102P1.txt,7.6535930373,0.7444315364899999,1.9345961742,2.48797972942,-0.327320453846,-2.12305717912,-0.0632711454491,-1.51201141333,-0.366475002448,BG,P1
BG0102P2.txt,5.03732666327,0.125815722583,-0.268671666276,0.0869344472525,2.128425396,0.006075657625550001,0.594154807201,-1.61777548755,0.32945970090599996,BG,P2
BG0102P3.txt,2.199186385,1.8903835471700001,0.6918057820300001,0.730539775053,-2.6666522491999998,2.2786272399,1.28193529693,2.73972087426,0.004488209803859999,BG,P3
BG0103P1.txt,-1.81120484808,-2.06761348675,-0.8159955937369999,0.592802281333,-0.8262168746520001,3.4171510327599997,0.725040276946,-1.12864357463,-0.31693654556999995,BG,P1
BG0103P2.txt,0.0900026266092,2.9202712560400004,-1.3989139101899999,3.6861207542300005,1.36375229589,-0.625242647772,0.149545113777,-0.899645146981,0.518134244266,BG,P2
BG0103P3.txt,6.8633294275,-2.40950039752,0.202984583011,3.4346489152900004,3.1816187786000003,-0.7214138555390001,0.32941871259,-0.514701535467,1.55118289898,BG,P3
BG0104P1.txt,-0.36719107165799997,-1.5381959808,1.9674689605400002,3.82194955181,0.93580110969,0.7537933020919999,2.85491260664,-1.1623398654000001,0.692055255764,BG,P1
BG0104P2.txt,-3.0807849769700004,0.423273474016,0.706770308956,-3.12457577409,-3.9995804338300003,6.166099624119999,3.0527736973699997,-2.28221380652,-1.1951507672700001,BG,P2
BG0104P3.txt,2.9675629160500003,4.91012458962,1.98112992949,2.03513419772,0.0293383301487,0.698656290299,-2.39646084518,-0.06923616090089998,1.21204114575,BG,P3
BG0105P1.txt,6.32724551264,1.44185922336,1.251686868,1.1157337411100001,0.0498112756854,-1.2681415499,2.3344064119,-0.392841844456,-0.585813701493,BG,P1
BG0105P2.txt,11.057593021099999,7.37477076276,0.793822250469,0.500440056722,1.2913014603200001,-0.412862490926,0.665209733752,-0.557059755887,0.8143330310340001,BG,P2
BG0105P3.txt,-3.4773188688300003,2.11649658318,-1.03804861144,1.5299014679799998,0.784465129674,-1.06244452347,0.531288102113,0.8597396942990001,0.906152090029,BG,P3
BG0106P1.txt,-16.6730724924,-16.53319602,-9.42583234315,-7.47999532707,-8.157757980860001,-2.90558777915,-10.7442856993,-2.28221380652,-17.878670733499998,BG,P1
BG0106P2.txt,8.552510671739999,0.272333718211,5.34973452757,1.11452078584,-2.61414484994,-2.5665953785699998,2.1020891493500002,-0.36328499061399994,-0.89319864759,BG,P2
BG0106P3.txt,-11.859423384100001,-3.55786232131,-4.38536216081,-2.00795981331,0.082944879872,-2.01747604609,2.87112314314,-2.28221380652,-1.4595864335799997,BG,P3
BG0107P1.txt,12.062827991099999,-2.7465537530199997,1.19650202093,1.7350876311099996,0.674689489994,3.56565100786,2.1614937345099996,-2.28221380652,0.552654012401,BG,P1
BG0107P2.txt,7.86603039842,-8.11073307448,1.93634067597,-2.08740886192,2.37395222825,-0.317745020637,2.76281507259,-0.127340757448,-0.495647937296,BG,P2
BG0107P3.txt,-5.478103845440001,-5.21807837193,-3.9672701468900002,-0.725029045303,-0.14658023256799999,-3.71333314885,1.4637194714,-0.518302263232,-0.44578818987499996,BG,P3
BG0108P1.txt,10.945195845499999,5.9618228315,3.6329490521599994,1.7479915562200001,0.656069953236,-0.547212353754,-0.39007399801700005,-1.7525344373900003,1.01356408098,BG,P1
BG0108P2.txt,-1.2977971160700001,2.7624261795800003,5.37909187528,-1.09382682821,1.23083941564,-3.07994173924,1.04433753918,-0.827571727709,-0.362472461718,BG,P2
BG0108P3.txt,2.1677793208700002,0.47593767598000003,1.44254324647,0.443926685757,2.66096044277,4.25820121765,1.47822841877,2.81250516635,0.6883170184190001,BG,P3
BG0109P1.txt,-0.0250452741844,0.681554762488,0.11362127774599999,-0.515980764603,-1.30474334613,0.754970960099,-0.35942567111400003,-0.44777307507299996,0.0233007136277,BG,P1
BG0109P2.txt,-4.67210187502,3.7117230817199998,-0.61832805054,-1.17997613059,0.333718901899,-1.0849859102600001,-2.0638724237,-1.8830536904099997,1.43254447438,BG,P2
BG0109P3.txt,-0.047828183568400004,0.982638833946,1.15465871583,-1.5133311518500001,-1.7502689085599998,-2.22327832483,0.47971960725400004,1.23666985069,-0.19232728450199998,BG,P3
BG0110P1.txt,1.70847637679,5.24436643148,0.856883978083,-0.5112114228019999,-2.42799387031,-0.823406702324,-0.272453808777,-1.17045549455,1.0254151756999998,BG,P1
BG0110P2.txt,6.26880477517,3.5173893120899997,2.50389198853,-0.8851717992460001,1.55720220433,-5.13866629037,1.1163897713700002,-2.28221380652,1.56731943979,BG,P2
