filename,C1_bigram_and_trigram_frequency,C2_word_acquisition_properties,C3_content_word_frequency,C4_trigram_mutual_information,C5_bigram_frequency_and_range,C6_function_word_properties,C7_content_word_properties,C8_bigram_mutual_information,C9_function_word_frequency_and_range,C10_bigram_and_trigram_association_strength,C11_academic_language,C12_hypernymy
LOCNEC_5_P2.txt,2.13596587544,6.60788191545,9.59385700361,2.46154051705,1.20021406589,3.2469500584,0.0582891359522,0.330575149738,2.26857959837,-0.506066294716,-0.15278454447,-3.10025684889
LOCNEC_5_P3.txt,-7.26365488662,-2.98585027226,-2.27874434099,0.475827970308,-7.9141660998,-2.89236789519,3.3348989569,-2.16199375133,-1.18457343772,4.41146061948,-1.29657779031,1.2978761867
LOCNEC_37_P3.txt,-8.03614796575,5.32861542419,-16.4666378713,2.18194610616,-6.06196247594,1.33907933242,1.06411298399,2.88077128438,-7.85846725226,0.0614067520003,-0.574889027324,1.84677547369
LOCNEC_29_P3.txt,-4.62995214681,-9.80945963145,-19.9294769457,-1.06223956055,-1.12169198255,-5.12076458143,9.21790411769,-2.86323952042,1.46089032226,2.07805551791,0.7517185411,6.6936177691
CAOS-E C2_ms_P3.txt,10.3785617944,13.6163344337,-8.19734405704,-1.47253716922,-2.76372762772,6.65805657205,5.15946670451,-0.940231181243,-2.18438498481,-1.89043807643,1.38697197804,2.36255014272
LOCNEC_54_P3.txt,4.16092821732,-1.14820363751,-0.684316196552,3.60559296969,-2.70142567436,-1.73260737012,3.37029293506,-0.80119132783,-4.03687591338,4.98536944963,7.90638008598,0.202868017615
LOCNEC_25_P3.txt,-5.75634297721,10.3299279106,-11.1477235724,1.39461070586,-8.16756039829,4.51322088017,2.96057154704,0.548247799027,-4.88243987207,-0.512009647844,6.24113915649,2.99877427389
CAOS-E C2_cb__P2.txt,5.49974257603,5.47566902705,3.3629706939,-2.44577852393,-2.43675771666,0.992602517422,-1.58126272062,-4.40264695875,-0.551416655455,-0.69447612207,-0.074704758966,-1.3539684889
LOCNEC_9_P3.txt,-1.62490920961,8.10961478188,4.80697031642,-3.26679513889,-0.733619352624,-0.435582356485,-0.616465584421,-0.0603262331369,0.527374773056,-0.449121916723,-0.664312173722,-0.518391255602
LOCNEC_46_P3.txt,-19.4332061158,4.6765717905,-7.43251343413,7.51572145656,-8.79368769345,0.118043314122,2.6711728381,0.139073164007,-3.18121974864,6.05525439969,2.82738860744,1.68981303136
LOCNEC_13_P2.txt,6.33133322571,4.58336220522,6.55850913039,1.97077983912,-0.0508365191954,-1.11948291197,0.174806785801,0.732944371627,0.32826941796,-0.960707496583,-1.32569233122,-2.530243893
CAOS-E C2_jd_P3.txt,0.652258726672,-1.26582611423,-3.33504979387,-0.287512595034,9.43739332683,0.789971168357,-1.06571892266,3.75169077432,-1.93065552277,5.51001460135,0.105846256317,3.09593304435
CAOS-E C2_sop-s_P1.txt,3.7784999309,-2.44606178364,7.68609462924,2.79732879555,-1.61375200556,-3.18882459808,-6.00830241155,0.150402036579,2.63889816251,-1.82900903499,1.24963201017,-2.68939935471
LOCNEC_48_P2.txt,13.6703361947,2.59715123764,7.76612978701,5.00658711922,5.01995743325,1.00246361695,-2.81301299407,3.56878142826,0.157901727257,0.362044495327,2.5284460226,-1.87972166087
LOCNEC_7_P2.txt,9.38045074927,6.48144818827,11.5533105777,-1.40541432787,-0.487122021399,2.33647891956,-2.19170984975,0.949806957678,-0.477162232621,-2.42545832888,-0.54600371466,-3.5948986359
LOCNEC_35_P2.txt,5.9237055775,4.20528773395,6.77940728207,0.673799278783,-1.00551234492,1.10484279684,-1.36120208326,0.184903583363,1.50943197169,-0.200514760272,-0.451188398701,-1.49688544279
CAOS-E C2_nc_P2.txt,7.22052551933,8.09792137344,5.92793622618,7.80724215371,1.45494804681,-1.92553866665,-2.16137086809,1.03942739244,2.83038003164,0.307638625553,-0.345097619031,-0.934478326723
LOCNEC_27_P2.txt,-4.21560537807,-10.6074613057,-0.235106723573,1.98631675067,0.338169498241,-4.01942975521,-5.96037897619,1.58001129554,2.39682237133,7.51563507758,1.5494913666,1.8395703167
LOCNEC_11_P3.txt,-4.76406824573,2.97997941442,-10.5436973785,-5.64214772656,-0.11668075561,1.7899504537,4.79335259562,0.783974329821,-1.59979424961,1.14388421152,-2.29385963278,3.48969515288
LOCNEC_39_P2.txt,4.11776409547,3.81137147308,6.3959239785,3.35130720646,1.45112167836,2.40056292545,-1.37209582608,0.287572714462,-1.60036518781,1.10571285708,1.38507391915,-1.96387646406
LOCNEC_39_P3.txt,-1.1549095826,4.81366608567,-7.32637806696,-1.57220786534,-0.584146921062,-1.79935680994,-3.69574016732,-3.13014544002,2.6649757277,4.02707209256,0.963620871009,2.29287684862
LOCNEC_11_P2.txt,-2.06447045568,-0.456910176436,3.85236675964,1.04341422949,-3.25050336866,1.52107722513,-0.780683639771,-0.409757606287,0.8480250979,-1.36191456128,0.0413662862679,-0.527016937195
LOCNEC_27_P3.txt,-9.40752457243,-5.75223228832,4.50161711374,0.0959788588885,1.54180222858,0.529960781781,-2.13344026581,0.249059411682,1.85747307404,-0.038787999045,1.35014842902,-2.04627510405
CAOS-E C2_nc_P3.txt,1.0337324527,1.93479847058,-14.537784583,-5.72295994742,-7.65704350469,0.922238516173,3.72275902262,-5.2806386571,4.45241039986,-0.9988622851,0.102832854005,4.10567899063
LOCNEC_35_P3.txt,-0.293984157951,-1.56728470274,-6.69225668994,5.65476909652,-5.79528079734,1.56305929521,1.51141458607,1.48397890741,-1.55907441696,2.94115502521,-1.01066011178,2.17965811358
LOCNEC_7_P3.txt,-13.8067319401,-8.94637715712,-9.02272186707,1.34838175337,-7.64922451503,2.04381812713,1.55176107966,0.525634171529,-2.13263211765,3.11220353269,-0.411867349991,5.34277250638
LOCNEC_48_P3.txt,2.42641307258,3.41410553597,-7.21667809721,-4.70130728741,1.70500040811,0.930633590834,4.56873132731,0.243678437401,-0.732219307595,-0.165232799307,1.64048035784,2.15772142056
CAOS-E C2_jd_P2.txt,-12.4263715812,-0.53471881816,-1.23496583455,7.48277946712,-9.18116733922,0.636539913638,-0.380322083904,3.31584385165,0.862420278786,3.97251061062,0.318976331444,-0.473078346396
CAOS-E C2_sop-s_P2.txt,-6.46488227535,3.27564504593,6.57738306805,3.54549679633,-5.82272646714,1.99491663425,-2.01401586226,-1.19298442975,-3.24778024649,2.75672406843,0.455780220804,-2.63341795961
LOCNEC_48_P1.txt,7.94197968722,-3.06026376376,4.85240124845,-5.66788053481,4.44887676683,-4.15898299115,-3.02690982271,-1.49308143112,2.60612874293,-0.00133124245513,0.249647925996,0.285756841335
LOCNEC_7_P1.txt,23.6262184389,14.3182775761,15.3626872229,3.14593413019,2.42731042916,2.64955712346,-0.949154735804,1.87137765279,-4.1612161045,-1.73477142361,1.81256367446,-4.33850824914
LOCNEC_35_P1.txt,21.0755643881,0.995022332046,4.43055710915,0.28759440607,2.35745638495,2.21876835751,-3.07367702826,0.00171578714151,-1.48388090941,-2.13752830448,0.704629751306,-1.06410250623
CAOS-E C2_nc_P1.txt,-5.68291841388,10.3366765251,1.64050679245,-7.19844903422,-7.19939500414,-4.63980636341,-0.339517745215,-4.7434289101,2.79477886734,-1.71421275268,-2.55232210426,-2.60456635893
LOCNEC_27_P1.txt,5.18843958988,-14.4549835682,-0.717765992736,-2.34319633882,10.1265251177,-8.45630601352,-2.78161711712,-1.03664371809,5.0608948521,4.81981055504,1.20456010024,1.08289387871
LOCNEC_39_P1.txt,11.1008428652,1.38832744535,15.2936813025,-7.91299390199,11.4243050526,0.235121211385,-5.96893893346,-1.23537162287,3.57208680634,-3.97080298108,-0.619020232388,-2.55320585136
LOCNEC_11_P1.txt,22.0389730729,7.69696402179,14.7355422802,3.91763725694,7.5740604969,2.99284951303,-3.20126289685,1.24925660012,0.328753437558,-2.21462969935,-0.385686934705,-4.58729504043
CAOS-E C2_sop-s_P3.txt,6.45804590911,6.05603281774,1.17521212355,3.06020565352,-0.893622740638,4.27027122016,3.46456529697,-1.68302334559,0.700537808961,-2.01821502587,1.21114883771,0.458441084537
CAOS-E C2_jd_P1.txt,15.6786893107,0.528412831404,3.1306497134,1.65049383674,16.053505641,-7.75903115789,-5.6597923069,-2.3116436379,5.23695240665,2.98170125892,0.157038181926,0.21849897769
LOCNEC_41_P1.txt,2.52136607783,5.0307037078,5.07500775049,-0.0638792379695,-1.91597805005,3.46964963618,1.96225231681,-1.13924640927,-1.52031428729,-0.412301638524,-0.756592754862,-0.482002671393
CAOS-E C2_ykm_P3.txt,-5.10115419991,-8.94004709927,-15.9771089979,-3.59080792942,5.76033716324,-2.91611450029,5.57101391148,0.352901404902,5.16397950351,2.08674797147,7.33431631555,5.75559001075
