filename,np_elaboration,verb_vac_frequency,nouns_as_modifiers,determiners,vac_frequency,association_strength,diversity_and_frequency,possessives,frequency
SP0140P1.txt,2.18674208749,-0.333637509864,3.79661813195,0.714305206004,0.0621663634443,1.79450482533,-0.583668662928,-1.58860812872,0.0682924328047
JP0143P2.txt,8.8134026894,6.02356101997,2.51453330147,-3.78020505778,-1.88401430315,5.43306628577,3.33688714431,4.06651510814,-0.474409040932
JP0135P1.txt,6.11505203291,1.61257885555,0.997903449748,4.03748344187,-1.49510758982,1.72990766286,0.514107225892,-1.77222461189,0.299811895302
SP011112.txt,-0.503518072828,-0.347979150208,-0.036381851159,1.94070487201,-0.424314454396,-0.194803325622,-3.52083214603,-2.08820670665,1.18629982956
SP0136P2.txt,-2.71567510734,-8.63206673813,-1.86021346994,-2.11718474408,-2.12035626985,-2.31987464858,2.82215437898,-1.47650731183,-0.909856986657
JP0107P3.txt,3.03268540727,0.845171108954,1.03265290972,-2.98850614003,-1.19525304376,7.404558834,1.35459032564,1.93816562663,-1.82827526454
SW0147P2.txt,2.02131972562,1.60951832893,1.28398187605,1.08420245165,0.983803429981,0.59435084209,-2.8838075828,-1.95150531469,1.25018378519
SW0103P3.txt,4.43220729509,-0.579309634484,-3.60800947961,0.877226172866,0.0958378131097,0.164343791282,1.79680083313,-0.0161032515369,-0.0117659559936
SW0131P1.txt,3.12960179839,0.377199945918,0.162792073746,0.814088584777,-1.11720072508,5.12776140799,-2.24138119306,-1.95657342054,0.45413355289
SP0108P3.txt,-3.52361680592,3.07196303202,0.686675930658,2.26150237849,1.57838893798,0.868028952641,-0.732918067617,1.31798782532,1.4575202024
JP0139P2.txt,-1.79287140376,3.12130155749,2.87480368493,-1.11023206568,1.56771293702,-3.34695576304,0.674814211768,1.36346895585,-1.44307053008
SW0129P2.txt,1.25040643338,10.7296432064,3.10731103067,0.655707939043,-1.54408646229,-0.0410072626298,-2.81683120932,-0.795445205235,1.01348169892
SW0125P1.txt,1.42343898331,7.63498329367,0.693560362887,2.6962847431,-1.69951762436,-0.10990761994,-0.764400137382,-2.06581864256,-0.443139415783
SW0117P3.txt,0.713616712934,1.16230834124,-1.47129953687,3.25980627712,-2.15135695893,3.35750692982,4.24057147246,1.46114762631,0.52629949561
JP0113P3.txt,7.39716144086,0.277141271897,-0.139651173462,4.88986222459,-1.91717004698,-1.40738335362,1.44753531167,-0.815456743715,0.705388961793
