filename,np_elaboration,verb_vac_frequency,nouns_as_modifiers,determiners,vac_frequency,association_strength,diversity_and_frequency,possessives,frequency
CH0132P1.txt,5.47473535139,-12.1197293752,-0.966889519084,6.03877305109,-2.81165521866,-0.0763504581867,1.58862348869,3.96980764193,-0.434938242757
CH0144P2.txt,5.21441246036,1.60273019414,3.46734706093,1.92365235888,0.319743028117,-0.87539156709,-0.881890212397,0.012316865951,0.733795139312
GR010312.txt,-5.05263261418,-1.51816017794,-1.24678967196,-3.16376236771,-0.276086563367,0.0793892321153,-1.68299173944,-0.622637961042,0.903869690248
BG0110P3.txt,-1.52084209376,-1.53063197311,-1.54149875878,0.970040434067,0.108077010773,1.87880484677,-0.744337573971,-0.754017191092,0.508993671043
IT0138P2.txt,7.15625969531,3.48320309495,0.63591139558,3.96718297759,-0.125837009563,2.28416641286,0.459836054367,5.61171394886,0.388761345743
BG0122P1.txt,-3.00302844852,4.29357146842,-0.61882549622,-2.4852673628,-0.89904418609,-0.31834510115,-2.18648469026,1.5332427181,0.740185034961
GR0124P2.txt,-0.738741946276,0.768264706238,-0.639697339237,-0.887380723344,0.0367960613884,1.44886558415,-1.5333668296,0.839625285806,0.980062929541
LOCNEC_19_P3.txt,9.52044828838,-0.445696254277,-1.46546250786,3.23198802919,-1.74459176094,-3.90303468054,3.8940118605,1.44935588903,-1.63562724039
CH011912.txt,13.0989666148,2.45415339519,6.81687074371,2.25459013725,0.308695080858,1.69731836637,1.00347080413,1.03751576517,-0.587719288379
PL0116P1.txt,4.52183959182,-0.90454772443,-1.46878733646,2.17880415189,-1.74211009269,0.716550830225,0.257437565002,-0.00349975937226,0.0329221342828
PL0124P3.txt,3.09554169018,-1.9441914843,-1.01229107332,3.25659496551,-0.0617585077872,-1.27153748596,1.492826545,-1.02165991978,-0.427142751442
CH0148P1.txt,13.1187499469,1.55295122162,3.017694182,0.686364401259,0.318491269578,-0.530473667155,1.46018205838,-0.217390210165,0.593441519373
GE013512.txt,2.69727249433,1.53630649703,1.68194417146,-1.12212353285,0.181593188925,-0.461626541394,-1.8909054021,-1.18730850274,0.68456690885
DU014612.txt,5.77692620643,5.72284229106,2.07634181427,1.3280465655,0.49516545697,-1.20968820868,-1.78152193314,-0.829098387842,0.357089690915
IT0106P3.txt,4.39370363771,-7.85230773199,0.717244533576,4.92823566947,2.43440466887,-0.718714398385,2.72879717399,3.46408430353,-1.86476842942
GR0128P1.txt,4.04624801627,1.18412840372,1.56973329828,0.0102585086462,0.30148799741,-0.641630308757,-1.55444914102,-0.983076606035,0.706113744541
BG010912.txt,-1.92129134238,1.94046976655,-0.170917210187,-0.723268161946,-0.667738694474,0.020465679714,-2.21233646157,-1.03766411334,0.612313823082
IT0134P1.txt,8.29451282756,1.12009332694,4.24259048429,2.84459545945,2.10618748318,0.358957067283,-0.884558985193,-1.12672733007,0.668217131241
GE0112P2.txt,-3.21605577599,0.914884032519,2.32786096848,-5.14296969678,-0.058212514434,0.345066396912,-0.190049635251,0.923658203479,0.164887289512
DU0117P1.txt,-1.00429178381,5.52725294114,3.27709825877,-2.58701255803,-0.53454304764,-2.72167392092,0.683790302412,-0.00815083712701,0.704867871845
IT0142P2.txt,-3.56450913518,-1.68398407206,-0.924242731451,4.60114653165,-0.344390206039,1.34244383249,1.88296878057,0.216596665661,-0.54710962707
CAOS-E C2_db_P3.txt,20.875131105,-5.32359488826,6.83214194029,4.4952925301,5.91908766791,14.3811501335,-0.37712879159,-2.28221380652,0.892633076329
FR0111P3.txt,-1.76981354465,-11.9059600845,-1.22143746794,-2.18235449388,5.28022963436,2.44830672779,3.07996550036,4.57614201726,-1.46663726428
FR0123P1.txt,-6.65146492843,3.58078308515,-1.02792636386,-0.314438882891,-0.873517604159,2.07837407435,-1.61103493369,-2.02684090159,0.0760917019458
DU0125P3.txt,2.01512051394,1.45420180442,-0.686718831497,-1.73280393989,0.325554760563,8.40196327578,2.13972963621,-0.188535627631,1.05234492575
DU0131P3.txt,-0.671808696681,-4.29960073684,-3.66780811471,7.38828718605,-0.382566183603,-3.75685303655,2.71504514156,0.13817557077,0.575478515549
GE0142P3.txt,-3.08606425433,1.74041556981,-0.407928577177,-1.45492001879,-2.34583080482,-0.452771064282,0.0335118514554,2.40544995387,0.0758628825157
FR0137P1.txt,-1.13296535075,0.452984403743,-1.04078152062,2.7137756878,-1.1948766527,2.40610444216,-1.16156020611,-1.05902352229,-0.0425057673319
FR0105P3.txt,-11.2113291607,17.8977234074,-1.82588559576,-7.47999532707,0.0501721691429,24.1946533671,2.38028044011,7.8522254578,3.0230407279
DU0103P1.txt,-0.820455610347,-2.24961673186,-3.22567214062,-3.58302161476,-4.66240235886,-0.137009810011,4.12448859647,2.06749389937,0.584818931481
LOCNEC_49_P2.txt,0.321413638657,-1.42659026075,0.6910537751,-1.22288087029,-0.882132403133,-0.045424387599,-3.13144063409,-0.164383727872,1.12227799133
GE0106P2.txt,-5.91296916938,-4.87555037517,-1.39114781449,-2.58102641564,0.825171383404,-0.943534409044,-0.191837947445,-1.4320280488,-0.328322736202
IT0120P1.txt,10.8976248112,3.4644966381,-1.06208449545,5.7214257894,-0.0402553438898,1.17584426865,6.41101457992,6.49504167376,-1.26730630439
IT0112P3.txt,-19.273886562,21.1197166863,-9.42583234315,-7.47999532707,3.08286896579,-2.90558777915,5.57697916106,-2.28221380652,4.20800602998
FR0141P2.txt,-0.961206128114,-0.866087601034,0.0762178137431,-2.3734563737,-0.625502930098,8.14803659016,1.22989456459,-2.28221380652,0.159713641306
